"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"06.11.2018","6.515,20","6.475,00","6.515,30","6.447,80","7,25K","0,70%"
"07.11.2018","6.572,70","6.519,00","6.607,10","6.512,20","10,72K","0,88%"
"08.11.2018","6.479,60","6.573,00","6.585,00","6.477,00","11,58K","-1,42%"
"09.11.2018","6.420,20","6.479,50","6.502,90","6.392,60","10,45K","-0,92%"
"10.11.2018","6.431,10","6.414,50","6.461,70","6.414,50","3,25K","0,17%"
"11.11.2018","6.450,00","6.431,00","6.459,90","6.364,00","7,34K","0,29%"
"12.11.2018","6.446,90","6.481,00","6.481,00","6.418,80","7,30K","-0,05%"
"13.11.2018","6.464,40","6.447,00","6.497,50","6.403,50","10,12K","0,27%"
"14.11.2018","5.884,60","6.458,90","6.485,00","5.705,00","69,20K","-8,97%"
"15.11.2018","5.753,40","5.922,30","5.929,20","5.441,50","49,91K","-2,23%"
"16.11.2018","5.660,50","5.731,90","5.756,80","5.554,95","18,43K","-1,61%"
"17.11.2018","5.626,70","5.655,70","5.659,20","5.573,60","7,98K","-0,60%"
"18.11.2018","5.659,40","5.637,20","5.716,00","5.620,96","9,55K","0,58%"
"19.11.2018","4.938,10","5.650,30","5.650,30","4.890,90","74,15K","-12,75%"
"20.11.2018","4.600,10","4.944,90","5.048,00","4.318,10","117,22K","-6,84%"
"21.11.2018","4.666,60","4.572,80","4.773,40","4.429,90","44,38K","1,45%"
"22.11.2018","4.392,40","4.672,10","4.716,80","4.388,50","27,95K","-5,88%"
"23.11.2018","4.422,70","4.370,80","4.482,00","4.251,00","36,09K","0,69%"
"24.11.2018","3.929,80","4.422,80","4.515,20","3.834,70","50,98K","-11,14%"
"25.11.2018","4.087,80","3.934,90","4.211,30","3.663,00","82,18K","4,02%"
"26.11.2018","3.858,00","4.111,30","4.196,40","3.708,10","64,08K","-5,62%"
"27.11.2018","3.884,40","3.850,10","3.941,60","3.713,20","46,27K","0,68%"
"28.11.2018","4.306,34","3.902,30","4.439,60","3.889,90","65,26K","10,86%"
"29.11.2018","4.312,90","4.331,40","4.472,00","4.180,60","41,10K","0,15%"
"30.11.2018","4.038,30","4.323,30","4.357,40","3.966,23","42,38K","-6,37%"
"01.12.2018","4.243,00","4.043,60","4.339,00","3.978,80","27,50K","5,07%"
