"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.11.2019","9.289,1","9.185,6","9.332,1","9.087,4","4,09K","1,13%"
"02.11.2019","9.332,1","9.288,4","9.429,4","9.251,8","3,66K","0,46%"
"03.11.2019","9.222,4","9.332,2","9.400,6","9.100,0","3,62K","-1,18%"
"04.11.2019","9.441,2","9.223,0","9.621,8","9.152,0","7,47K","2,37%"
"05.11.2019","9.333,9","9.440,0","9.504,1","9.200,0","3,41K","-1,14%"
"06.11.2019","9.353,0","9.334,0","9.475,0","9.278,0","3,47K","0,20%"
"07.11.2019","9.208,0","9.355,0","9.387,1","9.086,5","3,75K","-1,55%"
"08.11.2019","8.782,4","9.209,2","9.252,4","8.688,1","7,86K","-4,62%"
"09.11.2019","8.828,0","8.782,3","8.891,4","8.735,9","1,96K","0,52%"
"10.11.2019","9.068,4","8.827,1","9.156,9","8.764,0","4,64K","2,72%"
"11.11.2019","8.737,7","9.069,7","9.107,3","8.633,4","4,24K","-3,65%"
"12.11.2019","8.830,0","8.737,7","8.891,5","8.602,1","3,50K","1,06%"
"13.11.2019","8.801,1","8.830,0","8.849,3","8.730,3","1,34K","-0,33%"
"14.11.2019","8.655,7","8.800,9","8.817,4","8.601,4","3,30K","-1,65%"
"15.11.2019","8.495,8","8.655,5","8.798,1","8.420,2","5,18K","-1,85%"
"16.11.2019","8.523,5","8.494,8","8.553,1","8.442,7","1,53K","0,33%"
"17.11.2019","8.537,3","8.523,4","8.662,9","8.422,0","2,84K","0,16%"
"18.11.2019","8.219,5","8.536,7","8.536,8","8.119,0","6,36K","-3,72%"
"19.11.2019","8.164,9","8.219,5","8.241,9","8.055,2","3,70K","-0,66%"
"20.11.2019","8.126,4","8.164,9","8.255,0","8.081,0","2,06K","-0,47%"
"21.11.2019","7.671,1","8.126,4","8.155,9","7.510,1","9,89K","-5,60%"
"22.11.2019","7.323,0","7.672,5","7.763,3","6.820,1","19,37K","-4,54%"
"23.11.2019","7.352,6","7.318,6","7.385,0","7.141,0","4,63K","0,40%"
"24.11.2019","6.965,3","7.352,7","7.372,0","6.922,0","8,58K","-5,27%"
"25.11.2019","7.168,0","6.965,2","7.413,6","6.619,4","18,52K","2,91%"
"26.11.2019","7.198,3","7.162,8","7.384,7","7.061,2","5,20K","0,42%"
"27.11.2019","7.549,3","7.198,3","7.689,0","6.880,0","13,90K","4,88%"
"28.11.2019","7.460,8","7.547,3","7.683,0","7.415,0","4,34K","-1,17%"
"29.11.2019","7.796,6","7.460,7","7.916,3","7.450,0","7,28K","4,50%"
"30.11.2019","7.599,9","7.796,5","7.849,6","7.495,0","4,97K","-2,52%"
"01.12.2019","7.450,1","7.599,9","7.600,1","7.288,7","6,33K","-1,97%"
